player,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumble_lost,fpts,team,position,rec_att,rec_yds,rec_td
Patrick Mahomes II,644.6,428.0,"5,173.6",39.8,9.2,69.0,439.2,3.9,1.0,450.5,KC,QB,,,
Josh Allen,615.7,390.9,"4,596.5",34.4,10.8,128.0,703.0,7.5,2.2,446.5,BUF,QB,,,
Jalen Hurts,531.1,350.1,"4,028.7",28.0,8.0,173.0,930.4,16.1,1.0,425.0,PHI,QB,,,
Lamar Jackson,535.0,329.0,"3,701.0",28.1,10.0,170.7,"1,085.1",7.4,1.5,396.1,BAL,QB,,,
Joe Burrow,635.2,425.7,"4,780.5",34.0,11.6,71.0,423.6,5.0,0.6,400.1,CIN,QB,,,
Justin Fields,464.0,283.0,"3,245.0",25.0,10.0,184.8,"1,265.4",8.9,0.7,375.8,CHI,QB,,,
Justin Herbert,690.0,468.0,"4,813.2",31.7,11.3,60.5,274.6,3.5,0.4,383.1,LAC,QB,,,
Deshaun Watson,544.0,343.0,"4,021.6",28.1,9.0,118.7,572.0,7.0,0.5,341.0,CLE,QB,,,
Dak Prescott,580.6,378.6,"4,247.8",31.9,12.9,66.0,304.6,3.3,1.8,342.9,DAL,QB,,,
Kirk Cousins,636.0,429.0,"4,619.0",31.8,9.9,41.6,102.5,2.1,0.7,357.2,MIN,QB,,,
Trevor Lawrence,596.9,395.8,"4,337.1",29.8,9.1,69.0,311.0,6.7,1.8,348.3,JAC,QB,,,
Daniel Jones,541.0,355.3,"3,669.5",22.6,6.0,122.0,750.8,6.0,1.9,340.8,NYG,QB,,,
Geno Smith,589.0,400.0,"4,258.9",28.9,8.8,72.0,366.5,4.0,1.6,362.9,SEA,QB,,,
Aaron Rodgers,610.0,381.0,"4,377.0",30.8,6.0,41.2,178.8,2.0,1.3,329.3,NYJ,QB,,,
Russell Wilson,553.4,353.8,"3,981.6",27.7,8.8,67.1,355.0,4.0,0.4,309.5,DEN,QB,,,
Tua Tagovailoa,596.0,384.8,"4,465.2",31.4,10.6,60.4,165.9,2.6,1.0,323.7,MIA,QB,,,
Jared Goff,600.5,389.7,"4,443.8",30.5,7.0,35.0,108.7,1.8,1.3,333.0,DET,QB,,,
Anthony Richardson,581.9,378.8,"4,308.4",27.3,10.0,200.0,"1,036.0",6.2,0.7,308.9,IND,QB,,,
Derek Carr,538.0,357.1,"4,198.7",26.6,10.9,36.0,155.5,2.7,0.6,287.1,NO,QB,,,
Kenny Pickett,570.0,369.0,"3,745.0",21.9,8.8,78.4,"1,137.9",8.2,0.7,288.2,PIT,QB,,,
Jordan Love,606.2,385.4,"4,337.7",26.2,12.5,58.0,255.8,2.4,1.0,295.2,GB,QB,,,
Brock Purdy,542.3,351.5,"3,958.5",27.7,6.7,44.6,246.6,3.5,0.9,283.6,SF,QB,,,
Matthew Stafford,560.5,372.4,"4,291.1",26.3,10.8,38.3,121.1,1.3,1.0,304.5,LAR,QB,,,
Bryce Young,545.3,349.4,"3,885.2",23.2,10.0,73.7,285.2,2.1,0.9,263.6,CAR,QB,,,
Jimmy Garoppolo,577.0,381.3,"3,887.2",25.3,11.4,34.0,125.8,2.0,1.0,290.2,LV,QB,,,
Mac Jones,563.4,368.3,"3,830.8",23.4,12.0,57.0,211.1,1.9,1.2,247.4,NE,QB,,,
C.J. Stroud,549.0,344.7,"3,730.2",21.4,11.8,71.2,303.9,2.0,0.8,262.4,HOU,QB,,,
Ryan Tannehill,500.1,327.1,"3,766.8",22.5,7.0,47.7,200.5,5.1,0.8,243.1,TEN,QB,,,
Sam Howell,594.0,376.5,"4,205.0",24.4,8.0,76.3,343.8,3.1,0.7,253.0,WAS,QB,,,
Kyler Murray,473.0,314.0,"3,254.6",15.0,6.6,86.3,464.6,3.5,1.9,230.9,ARI,QB,,,
Baker Mayfield,701.0,439.0,"4,151.0",24.2,7.0,47.6,204.1,1.8,0.8,252.0,TB,QB,,,
Desmond Ridder,559.3,351.2,"3,833.7",22.0,6.0,47.0,279.3,2.1,1.1,226.0,ATL,QB,,,
Joshua Dobbs,183.1,113.8,"3,300.4",18.5,4.1,29.3,363.1,2.6,0.9,228.3,ARI,QB,,,
Kyle Trask,243.9,152.7,"1,621.3",7.9,1.0,32.8,75.0,0.6,0.0,99.4,TB,QB,,,
Jacoby Brissett,355.0,187.0,"1,672.5",9.4,1.0,36.7,150.9,1.6,0.0,116.9,WAS,QB,,,
Will Levis,219.0,132.0,"1,384.5",7.3,0.0,32.2,74.8,0.9,0.0,84.1,TEN,QB,,,
Brian Hoyer,131.2,75.2,"1,217.1",6.3,2.0,27.4,70.6,0.8,0.0,75.8,LV,QB,,,
